word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,rmse_v,rmse_a,rmse_d,vad_variance
body,0.1674856584055232,-0.17695067339503456,0.08280555082077261,0.16063192127844786,-0.1785159686942117,0.06821123345657198,0.007671116596817708,0.00935268163519043,0.006853737127075349,0.0015652952991771496,0.014594317364200624,0.006853737127075349,0.0015652952991771496,0.014594317364200624,0.021606187148160517
passing,-0.01486563098330946,-0.017021220117557422,-0.09474531458789906,-0.039189768110173176,-0.012165089130060557,-0.12239054751804951,0.018941833681503678,0.021443760233818384,0.024324137126863717,0.004856130987496866,0.02764523293015045,0.024324137126863717,0.004856130987496866,0.02764523293015045,0.002157192079249635
start,0.22304004084813692,-0.14082638852563276,0.13070546264721938,0.2167330098018005,-0.14348511583513668,0.12609249938756095,0.004526240538499593,0.0047653926582081375,0.006307031046336425,0.002658727309503922,0.004612963259658431,0.006307031046336425,0.002658727309503922,0.004612963259658431,0.012240314318896077
take,0.20248453983968756,-0.13499924598160862,0.05237769219805354,0.21867965572664075,-0.12113788980144663,0.062014911401494274,0.013231230423518635,0.013506726320866027,0.016195115886953187,0.013861356180161988,0.009637219203440732,0.016195115886953187,0.013861356180161988,0.009637219203440732,0.0212859316562306
ready,0.38534067623328155,-0.08994494857051291,0.3201774723805494,0.38980216064413536,-0.10013682810282235,0.2933624766992776,0.013822786541478338,0.016761297134927865,0.004461484410853811,0.010191879532309434,0.02681499568127177,0.004461484410853811,0.010191879532309434,0.02681499568127177,0.04734799904727768
whether,0.10079448537451936,-0.17300339229151995,-0.10678206884742304,0.10435605669264988,-0.16911722044623095,-0.10651312653166316,0.002572228493059802,0.003047373286097016,0.0035615713181305214,0.0038861718452889993,0.0002689423157598847,0.0035615713181305214,0.0038861718452889993,0.0002689423157598847,0.01353455391192787
performance,0.372515114296363,0.1633304266771869,0.20183044871892125,0.370907548947836,0.16134495346378094,0.20322245959520951,0.001661683146073743,0.0016796889107452953,0.001607565348527018,0.001985473213405947,0.0013920108762882633,0.001607565348527018,0.001985473213405947,0.0013920108762882633,0.009784059241788889
differently,-0.06040284756437951,-0.37146108005123457,-0.07867474829826823,-0.0575951092668303,-0.36745119656967157,-0.07817479136400911,0.002439192904457113,0.0028409221988261817,0.0028077382975492116,0.0040098834815630036,0.0004999569342591242,0.0028077382975492116,0.0040098834815630036,0.0004999569342591242,0.01950070594828594
deliberate,0.23783267151825793,-0.002450154632540044,0.2370832286781797,0.18711107760107598,0.09170955677329735,0.258682925038154,0.05549366722766454,0.06299544487334827,0.05072159391718195,0.0941597114058374,0.021599696359974274,0.05072159391718195,0.0941597114058374,0.021599696359974274,0.009152142350612083
rescue,-0.0036275118304125685,0.09866017330840693,0.23541948198494717,-0.00809595945979092,0.1001918130657679,0.23331194964048116,0.002702539910401775,0.0029863376202184594,0.004468447629378352,0.001531639757360967,0.0021075323444660066,0.004468447629378352,0.001531639757360967,0.0021075323444660066,0.009721435908768375
knee,-0.037339403563253194,-0.2472681269471088,-0.13449884723548364,-0.037538651673093906,-0.24591773464835656,-0.13407935666381604,0.0006563769934201866,0.0008244657885609914,0.000199248109840712,0.001350392298752251,0.00041949057166759673,0.000199248109840712,0.001350392298752251,0.00041949057166759673,0.007604437373802202
fade,-0.08721415222341622,-0.0827062204104785,-0.0932802705325479,-0.05979647336417722,-0.09089746376599021,-0.07470484642277947,0.018061448774839714,0.019696632221400542,0.027417678859239,0.008191243355511718,0.018575424109768424,0.027417678859239,0.008191243355511718,0.018575424109768424,0.0003923865175147288
delight,0.8091064414868318,0.3486063728619423,0.45122508883242457,0.8080902787092886,0.3481810582403881,0.4510371057064307,0.0005431535083637399,0.0006451916959143219,0.0010161627775431281,0.00042531462155420696,0.00018798312599388467,0.0010161627775431281,0.00042531462155420696,0.00018798312599388467,0.04041700127029762
