word,actual_v,actual_a,actual_d,pred_v,pred_a,pred_d,mae_overall,rmse_overall,mae_v,mae_a,mae_d,word_length,trajectory_length,vad_variance,error_v,error_a,error_d
explore,0.18539422546713905,-0.022295803235582803,0.07270141145261977,0.18662198966239812,-0.02164963389491118,0.07468541661502484,0.0012859795661119243,0.0013977620470397372,0.001227764195259079,0.0006461693406716214,0.0019840051624050725,7,39,0.008486848512773017,0.001227764195259079,0.0006461693406716214,0.0019840051624050725
body,0.1674856584055232,-0.17695067339503456,0.08280555082077261,0.16030346167613288,-0.1786753604783209,0.06789459903160988,0.00793927853394646,0.009607201789172796,0.007182196729390328,0.0017246870832863248,0.014910951789162727,4,39,0.021606187148160517,-0.007182196729390328,-0.0017246870832863248,-0.014910951789162727
passing,-0.01486563098330946,-0.017021220117557422,-0.09474531458789906,-0.03985845539044065,-0.012408779591562967,-0.12244982014632705,0.01910325683051788,0.021706032246731906,0.024992824407131194,0.004612440525994455,0.02770450555842799,7,39,0.002157192079249635,-0.024992824407131194,0.004612440525994455,-0.02770450555842799
start,0.22304004084813692,-0.14082638852563276,0.13070546264721938,0.216881967164199,-0.14374864159028133,0.12581054869584607,0.0046584135666532705,0.0048449842470334155,0.00615807368393792,0.002922253064648578,0.004894913951373314,5,39,0.012240314318896077,-0.00615807368393792,-0.002922253064648578,-0.004894913951373314
automatic,0.14703902078721803,-0.006827492268128232,0.18424444159322734,0.10641206366929859,0.019769551554075268,0.18692883058142407,0.023302796642773224,0.02807821414656703,0.04062695711791944,0.0265970438222035,0.0026843889881967287,9,39,0.006000530715195534,-0.04062695711791944,0.0265970438222035,0.0026843889881967287
take,0.20248453983968756,-0.13499924598160862,0.05237769219805354,0.21880233442561262,-0.12129814422309054,0.061929022330733816,0.013190075492374468,0.013481079541950122,0.016317794585925055,0.013701101758518075,0.009551330132680273,4,39,0.0212859316562306,0.016317794585925055,0.013701101758518075,0.009551330132680273
ready,0.38534067623328155,-0.08994494857051291,0.3201774723805494,0.38935471721964415,-0.10032314593596284,0.2932708706466852,0.013766280028558897,0.01681055940434675,0.004014040986362599,0.010378197365449926,0.026906601733864166,5,39,0.04734799904727768,0.004014040986362599,-0.010378197365449926,-0.026906601733864166
label,0.07588228987812587,-0.2860364018013886,-0.14369374159679915,0.06300569546754245,-0.2783901295503135,-0.1392216329884842,0.008331658423324497,0.009023523302213945,0.01287659441058342,0.007646272251075115,0.004472108608314956,5,39,0.021752961317533685,-0.01287659441058342,0.007646272251075115,0.004472108608314956
downtown,0.17488278265047122,-0.17879019667382817,0.1140676561614382,0.15416844385865264,-0.18020842008120963,0.10704623496133717,0.009717994466433691,0.012654321328894108,0.02071433879181858,0.0014182234073814581,0.007021421200101033,8,39,0.018951321953079938,-0.02071433879181858,-0.0014182234073814581,-0.007021421200101033
whether,0.10079448537451936,-0.17300339229151995,-0.10678206884742304,0.10416114202454993,-0.16916683434263907,-0.10681341351695665,0.002411519756148353,0.002947006186093738,0.0033666566500305667,0.003836557948880881,3.13446695336117e-05,7,39,0.01353455391192787,0.0033666566500305667,0.003836557948880881,-3.13446695336117e-05
performance,0.372515114296363,0.1633304266771869,0.20183044871892125,0.37097625238133475,0.16152538463975794,0.2029804661344053,0.0014979737893137575,0.0015219300034634493,0.0015388619150282778,0.0018050420374289555,0.0011500174154840392,11,39,0.009784059241788889,-0.0015388619150282778,-0.0018050420374289555,0.0011500174154840392
differently,-0.06040284756437951,-0.37146108005123457,-0.07867474829826823,-0.0574310819410213,-0.36758126275213593,-0.0782383316961303,0.002429333174864929,0.002832833248721165,0.0029717656233582135,0.0038798172990986424,0.00043641660213793176,11,39,0.01950070594828594,0.0029717656233582135,0.0038798172990986424,0.00043641660213793176
deliberate,0.23783267151825793,-0.002450154632540044,0.2370832286781797,0.18752733897788904,0.09130995140223937,0.25883419859979556,0.05527213616558805,0.0627021760871216,0.0503053325403689,0.09376010603477941,0.021750969921615848,10,39,0.009152142350612083,-0.0503053325403689,0.09376010603477941,0.021750969921615848
rescue,-0.0036275118304125685,0.09866017330840693,0.23541948198494717,-0.008119192873021548,0.0998567697477221,0.23322329803595274,0.002628153810306195,0.002968179327743716,0.00449168104260898,0.0011965964393151757,0.002196183948994429,6,39,0.009721435908768375,-0.00449168104260898,0.0011965964393151757,-0.002196183948994429
knee,-0.037339403563253194,-0.2472681269471088,-0.13449884723548364,-0.0375525137838847,-0.24607224230039806,-0.13417686634838105,0.0005769919181482808,0.0007255406595625707,0.00021311022063150858,0.0011958846467107487,0.0003219808871025853,4,39,0.007604437373802202,-0.00021311022063150858,0.0011958846467107487,0.0003219808871025853
fade,-0.08721415222341622,-0.0827062204104785,-0.0932802705325479,-0.05899344280252146,-0.0910031071780885,-0.07463812787051788,0.018386579616844926,0.02010618688600269,0.02822070942089476,0.008296886767610007,0.018642142662030015,4,39,0.0003923865175147288,0.02822070942089476,-0.008296886767610007,0.018642142662030015
delight,0.8091064414868318,0.3486063728619423,0.45122508883242457,0.8084267880236543,0.34808821440188636,0.4509747720245772,0.0004827095770269148,0.0005141580574192861,0.0006796534631774431,0.0005181584600559286,0.00025031680784737276,7,39,0.04041700127029762,-0.0006796534631774431,-0.0005181584600559286,-0.00025031680784737276
significance,0.4866214941718703,-0.1768115318586594,0.26822774105189007,0.5015316640817834,-0.16970006293760523,0.30952155838792583,0.02110515205566768,0.025677912085029328,0.014910169909913118,0.007111468921054159,0.041293817336035765,12,39,0.0834645288837137,0.014910169909913118,0.007111468921054159,0.041293817336035765
understand,0.45601129382420197,-0.3406146209395056,0.24067435284215083,0.440798679240479,-0.32745822700466487,0.23313824587083762,0.011968371829958977,0.01240036628658862,0.015212614583722972,0.013156393934840749,0.007536106971313211,10,39,0.09803679925707404,-0.015212614583722972,0.013156393934840749,-0.007536106971313211
injured,-0.7393379896324477,0.14769954210316064,-0.507129378046695,-0.732787858963391,0.1608840526646527,-0.4967925289309206,0.010023830115441038,0.010385662876775503,0.006550130669056631,0.013184510561492058,0.010336849115774427,7,39,0.14971344497353828,0.006550130669056631,0.013184510561492058,0.010336849115774427
administration,0.25886876443809825,0.09128420116103979,0.4104021779649344,0.26111252146332603,0.09762853334663368,0.3993080369158021,0.006560743419984662,0.007491438715570911,0.002243757025227777,0.0063443321855938956,0.011094141049132311,14,39,0.026759857719265923,0.002243757025227777,0.0063443321855938956,-0.011094141049132311
specific,0.511787165199425,-0.21082155609313952,0.3068302786254337,0.5082809470571368,-0.20617031607634048,0.3031820853376931,0.003935217148942636,0.003968077352232426,0.003506218142288242,0.004651240016799035,0.003648193287740631,8,39,0.08628718969970632,-0.003506218142288242,0.004651240016799035,-0.003648193287740631
battered,-0.21394115373880296,0.14695410995666558,-0.1708439273343732,-0.17875166216166694,0.1329761398420669,-0.1658594018947333,0.018050662377124865,0.022049410119398948,0.03518949157713602,0.01397797011459867,0.0049845254396398975,8,39,0.018947598287136855,0.03518949157713602,-0.01397797011459867,0.0049845254396398975
series,0.21242121532430613,-0.263663757121797,0.03806036795457315,0.21210116136040752,-0.29111608498046004,0.02422609067653135,0.013868886366867813,0.017749365877922484,0.0003200539638986144,0.027452327858663028,0.013834277278041797,6,39,0.04508888178090911,-0.0003200539638986144,-0.027452327858663028,-0.013834277278041797
measure,0.2852739678871343,-0.01105929733187162,0.26731998937063567,0.29461920198095903,0.03624111308139738,0.2666152476570036,0.019116795406908586,0.027839773025984504,0.009345234093824706,0.047300410413269,0.0007047417136320511,7,39,0.014299466893687031,0.009345234093824706,0.047300410413269,-0.0007047417136320511
foster,0.5047924980459377,0.07214435300459171,0.06521187629063327,0.5019226103973351,0.07268983000920798,0.06810846558941375,0.0021039846506664592,0.0023751512123074505,0.0028698876486026315,0.0005454770046162682,0.0028965892987804776,6,39,0.036356531807397195,-0.0028698876486026315,0.0005454770046162682,0.0028965892987804776
plus,0.10672259539898853,-0.16176909286961016,0.026332345152705477,0.134620873236175,-0.19076752247403297,0.015711066301562823,0.022505995430917313,0.024028000265226994,0.027898277837186472,0.02899842960442281,0.010621278851142654,4,39,0.01844232480335708,0.027898277837186472,-0.02899842960442281,-0.010621278851142654
figure,0.23822947603381295,-0.22428170289538882,0.09932437742714445,0.2473974153098196,-0.20836012211492944,0.12066205144697581,0.015475731358765796,0.016256733760648488,0.009167939276006648,0.015921580780459382,0.02133767401983136,6,39,0.03808614988492661,0.009167939276006648,0.015921580780459382,0.02133767401983136
captain,0.1257559071654379,0.10838010812236869,0.3785953269434157,0.11599150775604607,0.10730551133701677,0.37054043721716096,0.006297961973666166,0.0073343825593193725,0.009764399409391847,0.0010745967853519195,0.008054889726254733,7,39,0.012580336526301668,-0.009764399409391847,-0.0010745967853519195,-0.008054889726254733
daylight,0.4059105544806322,-0.3883908367589199,-0.028645757200044808,0.3836131359304849,-0.3683840471888153,-0.024863899168386466,0.015362022050636739,0.01743319585421748,0.022297418550147274,0.0200067895701046,0.0037818580316583417,8,39,0.09087740277741124,-0.022297418550147274,0.0200067895701046,0.0037818580316583417
dust,-0.04733527367669811,-0.32375480961962977,-0.16240767662997857,-0.048301190142783064,-0.32376626521759205,-0.16183024443803942,0.0005182680853287949,0.0006497573358483831,0.0009659164660849526,1.1455597962284347e-05,0.0005774321919391479,4,39,0.013088493147903134,-0.0009659164660849526,-1.1455597962284347e-05,0.0005774321919391479
delivery,0.402055924394144,-0.0029438624826546396,0.16152024309413382,0.4044811502552672,-0.010427521039404752,0.15491510443294793,0.005504674359686403,0.005930562722175486,0.0024252258611232036,0.007483658556750113,0.006605138661185894,8,39,0.03222899749905624,0.0024252258611232036,-0.007483658556750113,-0.006605138661185894
stern,0.20147221579549335,-0.05184432072126098,0.21661574623110214,0.19985142057478697,-0.06323716754947964,0.20033147880922478,0.009765969823600798,0.011512331091282553,0.001620795220706378,0.011392846828218658,0.016284267421877358,5,39,0.015499170594918343,-0.001620795220706378,-0.011392846828218658,-0.016284267421877358
stir,0.2876702644371554,-0.08289045862206056,0.11983032023319133,0.3222661077505206,0.04395160303862805,0.1548944848303243,0.06550068985706227,0.07856054272511039,0.03459584331336524,0.12684206166068862,0.03506416459713298,4,39,0.012851128357584724,0.03459584331336524,0.12684206166068862,0.03506416459713298
red,-0.013863346968021042,-0.16791445084448728,-0.09252050316145588,-0.027222855558519825,-0.15399341815150666,-0.07361000893360725,0.015397011837109342,0.015597846143620196,0.013359508590498783,0.013921032692980617,0.01891049422784863,3,39,0.003367143348021019,-0.013359508590498783,0.013921032692980617,0.01891049422784863
sorrow,-0.2218782764255623,0.08926190037555795,-0.16943376394487342,-0.2097523675843434,0.0908279775033942,-0.15974140112454308,0.007794782929795162,0.009007999404914209,0.012125908841218891,0.0015660771278362545,0.009692362820330341,6,39,0.015416630710572636,0.012125908841218891,0.0015660771278362545,0.009692362820330341
sentiment,0.12829133747004412,-0.18182218165733138,-0.01864350152633293,0.12407575650513417,-0.18077728444460078,-0.021288261296407048,0.002635079315904891,0.002935852363356953,0.004215580964909954,0.0010448972127306,0.002644759770074119,9,39,0.010843426847570602,-0.004215580964909954,0.0010448972127306,-0.002644759770074119
guest,0.41045323804465006,-0.1988805220144778,0.013303866312270261,0.4176838792032029,-0.1926300980624694,0.008248812971065915,0.0061787061505885294,0.006242423018508648,0.00723064115855282,0.0062504239520084215,0.005055053341204346,5,39,0.06542392209630793,0.00723064115855282,0.0062504239520084215,-0.005055053341204346
threaten,-0.07146482696702522,0.11419636255053933,-0.03584571117338915,-0.0805291309400766,0.11574149073454731,-0.04130721413861635,0.005356978374095521,0.006174599643163822,0.009064303973051385,0.0015451281840079822,0.005461502965227197,8,39,0.007024965234995719,-0.009064303973051385,0.0015451281840079822,-0.005461502965227197
working,0.4481763015425962,0.1023643813126752,0.2365276370917533,0.4352754644661389,0.101330415633518,0.2563136019585298,0.011240255874130328,0.013650214748106638,0.012900837076457283,0.0010339656791572005,0.0197859648667765,7,39,0.02101685527306671,-0.012900837076457283,-0.0010339656791572005,0.0197859648667765
avoid,-0.05790053876190092,-0.19105636816957436,-0.035988436823229615,-0.06846052683192477,-0.18714455787302078,-0.029022443720763354,0.0071459304896812305,0.007645056523420352,0.010559988070023854,0.003911810296553575,0.006965993102466261,5,39,0.004481052690588192,-0.010559988070023854,0.003911810296553575,0.006965993102466261
sweep,0.16470930325126176,-0.040431661588763726,-0.003146959402367359,0.18378357963992079,-0.03138427533255457,0.010957402173287265,0.014075341406840934,0.01465851553735689,0.019074276388659023,0.009047386256209156,0.014104361575654624,5,39,0.009326146666822525,0.019074276388659023,0.009047386256209156,0.014104361575654624
dear,0.27520443266282973,-0.1334487512580796,0.07893937800875571,0.2912658504732066,-0.16112591722861286,0.06111475202588194,0.020521069921261296,0.021147986111127098,0.016061417810376843,0.02767716597053327,0.017824625982873772,4,39,0.03749065407406148,0.016061417810376843,-0.02767716597053327,-0.017824625982873772
energy,0.3153213949996975,0.06490492522836513,0.35674682132728575,0.30582932910167776,0.06512167273419309,0.3556772452093151,0.0035927965072727885,0.0055163480542162295,0.009492065898019764,0.00021674750582795221,0.0010695761179706498,6,39,0.02153889125926509,-0.009492065898019764,0.00021674750582795221,-0.0010695761179706498
hair,0.34399238216758565,-0.13226267735158323,0.04907005020126856,0.3408279400421676,-0.14221290525102798,0.0418572562121958,0.0067758213379785215,0.007326780246575189,0.0031644421254180544,0.009950227899444747,0.007212793989072763,4,39,0.04275455370118148,-0.0031644421254180544,-0.009950227899444747,-0.007212793989072763
policy,0.39652711685934855,0.08565780946070947,0.3542990050999319,0.4015907409755355,0.10426302880386708,0.3492434902171134,0.009574786114054356,0.011508731565315029,0.005063624116186938,0.018605219343157606,0.005055514882818524,6,39,0.016491456369928957,0.005063624116186938,0.018605219343157606,-0.005055514882818524
hearing,0.28056268315315536,-0.1471389994394076,0.3219322840618343,0.2973553745727662,-0.13745641039064685,0.2746539007504574,0.02458455459324947,0.029501370275174955,0.016792691419610817,0.009682589048760737,0.04727838331137685,7,39,0.04613080251159543,0.016792691419610817,0.009682589048760737,-0.04727838331137685
reality,0.2816867705715977,-0.16656475501581464,0.3064209520925055,0.2882642862985886,-0.1654459711783611,0.3115680433496004,0.00428113027384644,0.004865111811754602,0.00657751572699089,0.0011187838374535353,0.0051470912570948935,7,39,0.05349606442807193,0.00657751572699089,0.0011187838374535353,0.0051470912570948935
payment,0.13072736939218596,-0.05268172122184964,0.1458108783037751,0.13989674243614136,-0.038913985622823624,0.14517733647965358,0.007856883489034308,0.009557358784148392,0.009169373043955403,0.013767735599026013,0.0006335418241215085,7,39,0.006221109721517505,0.009169373043955403,0.013767735599026013,-0.0006335418241215085
brother,0.6558799816699865,0.15523973080566975,0.22165559612433025,0.6300396787205136,0.12765827670217733,0.20897611155818777,0.022033747206369275,0.023016133441904348,0.025840302949472926,0.027581454103492414,0.012679484566142485,7,39,0.05276977629248788,-0.025840302949472926,-0.027581454103492414,-0.012679484566142485
with,0.011463716493103744,-0.0090104637456596,0.0725128552124125,0.038511743359923134,-0.018954198139892832,0.08057929475235467,0.015019400266998264,0.01727754861028982,0.02704802686681939,0.009943734394233232,0.008066439539942169,4,39,0.005874981847867793,0.02704802686681939,-0.009943734394233232,0.008066439539942169
football,0.21871744637391288,0.1272294598173202,0.07248180343443504,0.22033805288788333,0.1298240353099956,0.07704804993925038,0.002927142837153724,0.003173263021090093,0.0016206065139704462,0.0025945754926753883,0.004566246504815338,8,39,0.003326918844806668,0.0016206065139704462,0.0025945754926753883,0.004566246504815338
silence,0.11005424801618699,-0.14847452858304314,-0.016555134664537043,0.10852716498646504,-0.14593165187840715,-0.015627548613265395,0.0016658485952098605,0.0017943077028164062,0.0015270830297219457,0.002542876704635988,0.0009275860512716477,7,39,0.010781639010836784,-0.0015270830297219457,0.002542876704635988,0.0009275860512716477
space,0.255696022308576,-0.16889083745881078,0.1523206915231758,0.26111118424523627,-0.1482618437192384,0.16731059344793325,0.013678019200330035,0.015050764335202586,0.005415161936660251,0.020628993739572388,0.014989901924757465,5,39,0.036544811989540786,0.005415161936660251,0.020628993739572388,0.014989901924757465
savage,-0.10516087104756483,0.11602546122656637,0.2016052488284802,-0.11622754793549514,0.1024213688905673,0.16522971329739158,0.02034876825167266,0.02331467528404752,0.01106667688793031,0.013604092335999074,0.036375535531088604,6,39,0.012317120427385595,-0.01106667688793031,-0.013604092335999074,-0.036375535531088604
building,0.1335848268645068,-0.3070105103952034,0.1559950781714056,0.13361600654482755,-0.30237529741531916,0.15679243769451615,0.0018212507277718486,0.002715508163029971,3.1179680320764236e-05,0.004635212979884229,0.0007973595231105524,8,39,0.03905676485368125,3.1179680320764236e-05,0.004635212979884229,0.0007973595231105524
composition,0.2811653628898612,-0.11905532074224744,0.17403436425696933,0.2651629761314088,-0.13451850672793386,0.17634411633412023,0.01125844160709657,0.01291667471982017,0.01600238675845239,0.015463185985686426,0.002309752077150895,11,39,0.02538839013766635,-0.01600238675845239,-0.015463185985686426,0.002309752077150895
hardly,0.013006788151876598,-0.03828389869060909,-0.053376984999182094,0.013848109051055237,-0.039050244075142654,-0.053015058117006755,0.0006565310552958479,0.0006894677105883482,0.0008413208991786391,0.0007663453845335663,0.00036192688217533825,6,39,0.0008155213923613276,0.0008413208991786391,-0.0007663453845335663,0.00036192688217533825
rest,0.15540199724716489,-0.24544384046616932,0.010456175309291705,0.13409348820405345,-0.23039528434566112,0.006478874519702238,0.013444788651069703,0.015235162405034346,0.021308509043111434,0.015048556120508205,0.003977300789589467,4,39,0.021749710642109295,-0.021308509043111434,0.015048556120508205,-0.003977300789589467
far,0.3616218206304105,-0.08158276935355721,0.24727068485294026,0.3751159755108837,-0.07315298441363857,0.2573695882744734,0.010674281080641676,0.010880277882311228,0.01349415488047323,0.008429784939918639,0.010098903421533162,3,39,0.03654301992142604,0.01349415488047323,0.008429784939918639,0.010098903421533162
shine,0.5332331504983658,-0.11017501259960363,0.28200407098377356,0.5156360833197463,-0.12476772927141777,0.26380660342368667,0.01679575047017352,0.016869617450247707,0.01759706717861953,0.014592716671814138,0.01819746756008689,5,39,0.07893287198829303,-0.01759706717861953,-0.014592716671814138,-0.01819746756008689
corpse,-0.02930953085914903,-0.15830107492320694,-0.06991025962508238,-0.029066387265081043,-0.1607667552623526,-0.06828236662216788,0.0014455723120427113,0.0017116010020955712,0.000243143594067987,0.002465680339145654,0.0016278930029144933,6,39,0.0029979720387478923,0.000243143594067987,-0.002465680339145654,0.0016278930029144933
smith,0.2613789344087972,0.03141267812401385,0.2231348098277917,0.26218131692589397,0.030828162761257782,0.2238665355889493,0.0007062078803368026,0.0007120155669136335,0.0008023825170967447,0.0005845153627560655,0.0007317257611575978,5,39,0.010364726459611914,0.0008023825170967447,-0.0005845153627560655,0.0007317257611575978
